电影名称,评分,类型,制片国家/地区,时间,票房
神奇乐园历险记 Wonder Park,6.1,喜剧 / 动画 / 奇幻 / 冒险,美国/西班牙,2019年4月19日,4657万
地久天长,8.0,剧情 / 家庭,中国大陆,2019年3月22日,4456万
狂暴凶狮 Prooi,5.0,喜剧 / 惊悚,荷兰,2019年3月22日,4425万
铤而走险,6.0,剧情 / 犯罪,中国大陆,2019年8月30日,4380万
一生有你2019,3.9,爱情,中国大陆,2019年11月29日,4124万
你是凶手,5.5,剧情 / 犯罪 / 悬疑,中国大陆,2019年11月22日,4106万
解放·终局营救,4.4,剧情 / 历史 / 战争,中国大陆,2019年12月27日,4106万
跳舞吧！大象,5.0,剧情 / 喜剧 / 歌舞,中国大陆,2019年7月26日,3874万
徒手攀岩 Free Solo,8.8,纪录片,美国,2019年9月6日,3616万
一条狗的回家路 A Dog&#39;s Way Home,6.8,剧情 / 冒险,中国大陆/美国,2019年1月18日,3604万
无所不能 Kaabil,7.0,动作 / 犯罪 / 悬疑,印度,2019年6月5日,3480万
猪猪侠·不可思议的世界,4.6,动画,中国大陆,2019年7月5日,3373万
古田军号,6.9,剧情 / 历史 / 战争,中国大陆,2019年8月1日,3312万
家和万事惊 家和萬事驚,5.9,喜剧 / 家庭,中国大陆/中国香港,2019年1月18日,3247万
我的英雄学院：两位英雄 僕のヒーローアカデミア THE MOVIE ～2人の英雄～,6.9,动作 / 动画,日本,2019年3月15日,3173万
龙珠超：布罗利 ドラゴンボール超 ブロリー,7.2,动作 / 动画 / 奇幻 / 冒险,日本,2019年5月24日,3083万
秦明·生死语者,4.1,犯罪 / 悬疑,中国大陆,2019年6月14日,2960万
钢铁飞龙之奥特曼崛起,3.1,动作 / 科幻 / 动画,中国大陆,2019年1月18日,2883万
送我上青云,7.0,剧情,中国大陆,2019年8月16日,2875万
天气之子 天気の子,7.0,爱情 / 动画 / 奇幻,日本,2019年11月1日,2846万
红星照耀中国,6.1,动作 / 犯罪 / 悬疑,中国大陆,2019年4月30日,2803万
命运之夜——天之杯Ⅰ：恶兆之花 劇場版 Fate/stay night [Heaven&#39;s Feel] I. presage flower,7.4,动画 / 奇幻,日本,2019年1月11日,2470万
深夜食堂,4.9,剧情,中国大陆,2019年8月30日,2391万
我想吃掉你的胰脏 君の膵臓をたべたい,6.9,爱情 / 动画,日本,2019年1月18日,2372万
潜艇总动员：外星宝贝计划,4.7,剧情 / 爱情,中国大陆,2019年4月19日,2344万
冰雪女王4：魔镜世界 The Snow Queen: Mirrorlands,5.5,动画 / 奇幻 / 冒险 / 家庭,俄罗斯,2019年8月2日,2341万
触不可及(美版) The Upside,7.5,剧情 / 喜剧,美国,2019年11月22日,2340万
星际探索 Ad Astra,6.8,科幻 / 冒险,美国/巴西/中国大陆,2019年12月5日,2251万
命运之夜——天之杯Ⅱ：迷失之蝶 劇場版 Fate/stay night [Heaven&#39;s Feel] II. lost butterfly,7.6,剧情 / 动画 / 奇幻,日本,2019年7月12日,2232万
巧虎大飞船历险记,7.4,儿童 / 动画,中国大陆,2019年6月1日,2230万
素人特工,3.4,喜剧 / 动作 / 冒险,中国大陆,2919年7月12日,2225万
唐顿庄园 Downton Abbey,8.0,剧情,英国/美国,2019年12月13日,2126万
宝莱坞机器人2.0：重生归来 2.0,5.4,动作 / 科幻 / 惊悚,印度,2019年9月6日,2114万
长安道,6.0,剧情 / 犯罪 / 悬疑,中国大陆,2019年11月15日,2104万
我的拳王男友,4.6,爱情 / 运动,中国大陆,2019年11月8日,2081万
八子,4.1,动作 / 历史 / 战争,中国大陆,2019年6月21日,2030万
赛尔号大电影7：疯狂机器城,4.7,儿童 / 喜剧 / 动画 / 奇幻 / 冒险,中国大陆,2019年8月2日,2025万
打过长江去,4.1,剧情 / 战争,中国大陆,2019年10月16日,1984万
海蒂和爷爷 Heidi,9.3,剧情 / 冒险 / 家庭,德国/瑞士,2019年5月16日,1978万
悟空奇遇记,2.8,喜剧 / 动画,中国大陆,2019年5月1日,1871万
狗眼看人心,5.5,剧情 / 家庭,中国大陆,2019年4月20日,1866万
八佰,7.5,剧情 / 历史 / 战争,中国大陆,2020年8月21日,30.9137亿
我和我的家乡,7.0,剧情 / 喜剧,中国大陆,2020年10月1日,28.2296亿
姜子牙,6.6,剧情 / 动画 / 奇幻,中国大陆,2020年10月1日,15.977亿
送你一朵小红花,7.2,剧情,中国大陆,2020年12月31日,14.3152亿
拆弹专家2,7.4,动作 / 犯罪,中国大陆/中国香港,2020年12月24日,13.1477亿
金刚川,6.5,剧情 / 战争,中国大陆,2020年10月23日,11.15亿
温暖的抱抱,5.2,喜剧,中国大陆,2020年12月31日,8.5119亿
夺冠,7.1,剧情 / 运动,中国大陆/中国香港,2020年9月25日,8.2737亿
除暴,6.1,剧情 / 动作 / 犯罪,中国香港/中国大陆,2020年11月20日,5.37亿
我在时间尽头等你,5.3,爱情 / 奇幻,中国大陆,2020年8月25日,5.011亿
紧急救援,5.9,动作 / 灾难,中国大陆/中国香港,2020年12月18日,4.8316亿
信条 Tenet,7.6,剧情 / 动作 / 科幻,美国/英国,2020年9月4日,4.5202亿
沐浴之王,6.0,喜剧,中国大陆,2020年12月11日,4.0365亿
心灵奇旅 Soul,8.7,动画 / 奇幻 / 音乐,美国,2020年12月25日,3.6181亿
疯狂原始人2 The Croods: A New Age,7.7,喜剧 / 动画 / 冒险,美国,2020年11月27日,3.4359亿
如果声音不记得,3.9,爱情 / 奇幻,中国大陆,2020年12月4日,3.3449亿
一点就到家,6.5,剧情 / 喜剧,中国大陆,2020年10月4日,3.0619亿
急先锋,4.4,动作,中国大陆,2020年9月30日,2.8705亿
花木兰 Mulan,4.9,动作 / 冒险 / 古装,美国/中国香港,2020年9月11日,2.7661亿
赤狐书生,4.8,喜剧 / 奇幻 / 古装,中国大陆,2020年12月4日,1.8507亿
神奇女侠1984 Wonder Woman 1984,6.1,动作 / 奇幻 / 冒险,美国/英国/西班牙,2020年12月18日,1.5852亿
多力特的奇幻冒险 Dolittle,5.7,喜剧 / 奇幻 / 冒险,美国/中国大陆/英国,2020年7月24日,1.3534亿
一秒钟,7.6,剧情,中国大陆,2020年11月27日,1.2912亿
数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆,7.3,动画 / 冒险,日本,2020年10月30日,1.2135亿
喜宝,3.3,剧情 / 爱情,中国大陆,2020年10月16日,1.0875亿
变身特工 Spies in Disguise,7.3,喜剧 / 动作 / 科幻 / 动画,美国,2020年1月3日,1.0356亿
地狱男爵：血皇后崛起 Hellboy,5.7,动作 / 奇幻 / 冒险,美国,2020年11月9日,8399万
风平浪静,6.2,剧情 / 爱情 / 犯罪,中国大陆,2020年11月6日,8196万
汪汪队立大功之超能救援 PAW Patrol: Mighty Pups,6.0,儿童 / 动画 / 冒险,美国/加拿大,2020年11月13日,7228万
1/2的魔法 Onward,7.6,喜剧 / 动画 / 奇幻 / 冒险,美国,2020年8月19日,7013万
热血合唱团 熱血合唱團,4.5,剧情,中国香港,2020年11月13日,6997万
1917,8.5,剧情 / 战争,美国/英国/印度/西班牙/加拿大/中国大陆,2020年8月7日,6780万
明天你是否依然爱我,4.0,剧情 / 爱情,中国大陆/中国香港,2020年12月24日,6397万
美丽人生 La vita è bella,9.6,剧情 / 喜剧 / 爱情 / 战争,意大利,2020年1月3日,5814万
哆啦A梦：大雄的新恐龙 映画ドラえもん のび太の新恐竜,7.1,动画 / 奇幻 / 冒险,日本,2020年12月11日,5700万
秀美人生,6.9,剧情 / 传记,中国大陆,2020年8月13日,5170万
荞麦疯长,4.1,剧情 / 爱情,中国大陆,2020年8月25日,5135万
紫罗兰永恒花园外传：永远与自动手记人偶 ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,7.4,剧情 / 动画,日本,2020年1月10日,4859万
鲨海逃生 47 Meters Down: Uncaged,5.1,惊悚 / 冒险,英国,2020年1月10日,4718万
小妇人 Little Women,8.0,剧情 / 爱情,美国,2020年8月25日,4519万
喋血战士 Bloodshot,5.5,动作 / 科幻,中国大陆/美国,2020年7月24日,4427万
动物特工局,5.9,喜剧 / 动画 / 冒险,中国大陆/法国,2020年1月11日,4388万
我的女友是机器人,3.5,喜剧 / 爱情 / 科幻,中国大陆,2020年9月11日,4252万
绝地战警：疾速追击 Bad Boys for Life,5.7,喜剧 / 动作 / 犯罪,美国/墨西哥,2020年8月14日,3417万
末日逃生 Greenland,5.4,剧情 / 科幻 / 灾难,美国/英国,2020年11月20日,3200万
野性的呼唤 The Call of the Wild,7.0,剧情 / 冒险,加拿大/美国/葡萄牙,2020年11月13日,3119万
死无对证 Il testimone invisibile,7.3,剧情 / 犯罪 / 悬疑 / 惊悚,意大利,2020年9月18日,2803万
2019阅兵盛典,3.4,喜剧 / 爱情 / 奇幻,中国大陆,2020年10月30日,2762万
抵达之谜,4.7,剧情 / 爱情,中国大陆,2020年7月31日,2507万
隐形人 The Invisible Man,7.1,科幻 / 惊悚 / 恐怖,加拿大/澳大利亚/美国,2020年12月4日,2302万
天道王,8.6,动画 / 奇幻 / 冒险,日本,2020年12月31日,2215万
刺猬索尼克 Sonic the Hedgehog,6.0,喜剧 / 动作 / 动画 / 冒险,加拿大/日本/美国,2020年7月31日,1886万
保家卫国——抗美援朝光影纪实,8.8,纪录片,中国大陆,2020年10月25日,1858万
猎杀T34 T-34,7.5,动作 / 历史 / 战争,俄罗斯,2020年12月11日,1808万
麦路人 麥路人,6.5,剧情,中国香港,2020年9月17日,1765万
灭绝 Extinction,5.5,科幻 / 惊悚,美国,2020年1月18日,1591万
假面饭店 マスカレード・ホテル,6.3,剧情 / 犯罪 / 悬疑,日本,2020年9月4日,1526万
极速车王 Ford v Ferrari,8.5,剧情 / 传记 / 运动,美国,2020年8月7日,1469万
海兽之子 海獣の子供,6.5,动画 / 奇幻 / 冒险,日本,2020年11月20日,1426万
阿里巴巴与神灯,7.0,动作 / 冒险,英国/美国,2020年11月13日,1362万
宝可梦：超梦的逆袭 进化 劇場版 ポケットモンスター ミュウツーの逆襲 EVOLUTION,6.1,动画 / 奇幻 / 冒险,日本,2020年12月4日,1298万
七号房的礼物 7. Koğuştaki Mucize,7.7,剧情,土耳其,2020年10月15日,1174万
网络凶铃,3.5,惊悚 / 恐怖,中国大陆,2020年10月30日,1098万
妙先生,6.2,动画 / 奇幻 / 冒险,中国大陆,2020年7月31日,1052万
乔乔的异想世界 Jojo Rabbit,8.3,剧情 / 喜剧 / 战争,美国/捷克/新西兰,2020年7月31日,960万
萌宠流浪记 Trouble,5.6,喜剧 / 动画 / 家庭,加拿大/美国/开曼群岛,2020年9月18日,866万
未来的未来 未来のミライ,6.6,动画 / 奇幻,日本,2020年11月6日,813万
木兰：横空出世,3.2,喜剧 / 动作 / 动画,中国大陆,2020年10月3日,761万
十三猎杀,3.2,动作,中国大陆,2020年2月8日,683万
菊次郎的夏天 菊次郎の夏,8.9,剧情 / 喜剧,日本,2020年9月25日,597万
蓝色防线,8.5,战争 / 纪录片,中国大陆,2020年9月18日,488万
第一次的离别,7.1,剧情 / 儿童,中国大陆,2020年7月20日,438万
掬水月在手,7.8,传记 / 纪录片,中国大陆,2020年10月16日,415万
飞奔去月球 Over the Moon,6.0,动画 / 冒险 / 家庭,美国/中国大陆,2020年10月23日,399万
魔发精灵2 Trolls World Tour,6.4,动画 / 奇幻 / 冒险 / 歌舞,美国,2020年8月21日,384万
致敬英雄,6.4,剧情 / 传记 / 历史,美国/俄罗斯/英国,2020年8月28日,343万
再见吧！少年,6.7,剧情,中国大陆,2020年10月5日,332万
流浪地球,7.9,科幻 / 冒险 / 灾难,中国大陆,2020年11月26日,276万
士兵顺溜：兵王争锋,3.0,剧情 / 喜剧,中国大陆,2020年1月10日,117万
武圣关公,4.0,动作 / 动画,中国大陆,2020年1月11日,26万
长津湖,7.4,剧情 / 历史 / 战争,中国大陆/中国香港,2021年9月30日,57.7007亿
你好，李焕英,7.7,剧情 / 喜剧 / 奇幻,中国大陆,2021年2月12日,54.133亿
唐人街探案3,5.3,喜剧 / 悬疑,中国大陆/中国香港/日本,2021年2月12日,45.1459亿
我和我的父辈,6.5,剧情,中国大陆,2021年9月30日,14.7232亿
速度与激情9 F9: The Fast Saga,5.2,动作 / 犯罪,美国,2021年5月21日,13.9232亿
怒火·重案 怒火,7.2,动作 / 犯罪,中国香港/中国大陆,2021年7月30日,13.2694亿
中国医生,6.9,剧情 / 灾难,中国大陆,2021年7月9日,13.2445	亿
哥斯拉大战金刚 Godzilla vs Kong,6.3,动作 / 科幻 / 冒险,美国/澳大利亚/加拿大/印度,2021年3月26日,12.2739亿
悬崖之上,7.6,剧情 / 动作 / 悬疑,中国大陆/中国香港,2021年4月30日,11.9004亿
误杀2,5.7,剧情 / 犯罪,中国大陆,2021年12月17日,11.1823亿
刺杀小说家,6.5,动作 / 奇幻 / 冒险,中国大陆,2021年2月12日,10.3186亿
穿过寒冬拥抱你,6.0,剧情 / 爱情,中国大陆,2021年12月31日,9.3668亿
扬名立万,7.4,剧情 / 喜剧 / 悬疑,中国大陆,2021年11月11日,9.2053亿
我的姐姐,6.9,剧情 / 家庭,中国大陆,2021年4月2日,8.5965亿
你的婚礼,4.7,爱情,中国大陆,2021年4月30日,7.8888亿
人潮汹涌,6.5,喜剧 / 犯罪,中国大陆/中国香港,2021年2月12日,7.5963亿
反贪风暴5：最终章 G風暴,4.6,动作 / 犯罪,中国香港/中国大陆,2021年12月31日,6.26亿
失控玩家 Free Guy,7.5,喜剧 / 动作 / 科幻,美国/加拿大,2021年8月27日,6.1246亿
熊出没·狂野大陆,6.3,喜剧 / 科幻 / 动画,中国大陆,2021年2月12日,5.8327亿
白蛇2：青蛇劫起,6.8,动画 / 奇幻 / 冒险,中国大陆,2021年7月23日,5.7751亿
1921,6.7,剧情 / 历史,中国大陆,2021年7月1日,5.0388亿
新神榜：哪吒重生,6.8,动作 / 动画 / 奇幻,中国大陆,2021年2月12日,4.5007亿
峰爆,6.3,剧情 / 动作 / 灾难,中国大陆,2021年9月17日,4.3547亿
古董局中局,5.9,剧情 / 悬疑 / 冒险,中国大陆/中国香港,2021年12月3日,4.2941亿
007：无暇赴死 No Time to Die,6.6,动作 / 惊悚 / 冒险,英国/美国,2021年10月29日,4.1452万
扫黑·决战,6.0,剧情 / 动作 / 犯罪,中国大陆,2021年5月1日,4.041亿
盛夏未来,7.1,剧情,中国大陆,2021年7月30日,3.8421亿
我要我们在一起,6.0,剧情 / 爱情,中国大陆,2021年5月20日,3.2499亿
侍神令,5.3,奇幻,中国大陆,2021年2月12日,2.7409亿
哆啦A梦：伴我同行2 STAND BY ME ドラえもん2,7.1,剧情 / 动画,日本,2021年5月28日,2.6982亿
当男人恋爱时 當男人戀愛時,6.3,爱情,中国台湾/中国香港,2021年6月11日,2.618亿
爱情神话,8.1,剧情 / 喜剧 / 爱情,中国大陆,2021年12月24日,2.5993亿
沙丘 Dune,7.7,剧情 / 科幻 / 冒险,美国,2021年10月22日,2.5332亿
寂静之地2 A Quiet Place: Part II,6.4,科幻 / 惊悚 / 恐怖,美国,2021年5月28日,2.4949亿
雄狮少年,8.3,剧情 / 喜剧 / 动画,中国大陆,2021年12月17日,2.4822亿
追虎擒龙,5.0,剧情 / 动作 / 犯罪,中国香港/中国大陆,2021年5月1日,2.4335亿
门锁,4.3,剧情 / 犯罪 / 惊悚,中国大陆,2021年11月19日,2.4183亿
大红包,4.7,喜剧 / 爱情,中国大陆,2021年1月22日,2.3528亿
以年为单位的恋爱,5.2,爱情,中国大陆,2021年12月31日,2.3103亿
名侦探柯南：绯色的子弹 名探偵コナン 緋色の弾丸,5.6,动作 / 动画 / 悬疑 / 冒险,日本,2021年4月17日,2.1488亿
秘密访客,5.3,悬疑 / 惊悚,中国大陆,2021年5月1日,2.1487亿
比得兔2：逃跑计划 Peter Rabbit 2: The Runaway,7.0,喜剧 / 动画 / 冒险,澳大利亚/印度/美国/英国/加拿大,2021年6月11日,1.9778亿
人之怒 Wrath of Man,6.7,动作 / 犯罪,美国/英国,2021年5月10日,1.6153亿
燃野少年的天空,4.5,喜剧 / 歌舞,中国大陆,2021年7月17日,1.6074亿
黑白魔女库伊拉 Cruella,6.8,喜剧 / 犯罪,美国,2021年6月6日,1.547亿
许愿神龙 Wish Dragon,6.5,喜剧 / 动画 / 奇幻,中国大陆/美国/中国香港,2021年1月15日,1.5215亿
关于我妈的一切,6.3,剧情 / 家庭,中国大陆,2021年9月19日,1.4998亿
了不起的老爸,6.5,剧情 / 喜剧 / 运动 / 家庭,中国大陆,2021年6月18日,1.4856亿
超越,5.0,剧情 / 喜剧 / 运动,中国大陆,2021年6月12日,1.4282亿
铁道英雄,5.8,剧情 / 动作 / 历史 / 战争,中国大陆,2021年11月19日,1.4159亿
你好世界 HELLO WORLD,6.8,爱情 / 动画 / 奇幻,日本,2021年6月11日,1.3613亿
革命者,7.5,剧情 / 历史,中国大陆,2021年7月1日,1.3283亿
守岛人,7.4,剧情,中国大陆,2021年6月18日,1.2653亿
明日之战 The Tomorrow War,5.9,动作 / 科幻 / 冒险,美国,2021年9月3日,1.2385亿
寻龙传说 Raya and The Last Dragon,7.0,动画 / 奇幻 / 冒险,美国,2021年3月5日,1.2187亿
西游记之再世妖王,5.3,动作 / 动画 / 奇幻,中国大陆,2021年4月2日,1.1238亿
缉魂 緝魂,6.8,科幻 / 犯罪 / 悬疑 / 惊悚,中国大陆/中国台湾,2021年1月15日,1.0876亿
猫和老鼠 Tom and Jerry,5.2,喜剧 / 动画 / 冒险,英国/美国,2021年2月26日,9661万
阳光姐妹淘,4.4,喜剧,中国大陆,2021年6月11日,9497万
陪你很久很久,4.7,喜剧 / 爱情,中国台湾,2021年9月9日,9254万
新大头儿子和小头爸爸4：完美爸爸,5.0,动画 / 奇幻 / 冒险,中国大陆,2021年7月9日,9199万
夏日友晴天 Luca,7.3,喜剧 / 动画 / 奇幻 / 冒险,美国,2021年8月20日,8869万
猪猪侠大电影·恐龙日记,4.6,儿童 / 动画,中国大陆,2021年5月1日,7810万
贝肯熊2：金牌特工,4.6,动画 / 冒险,中国大陆,2021年7月23日,7610万
第十一回,7.2,剧情 / 喜剧,中国大陆,2021年4月2日,7397万
俑之城,5.8,动画 / 奇幻 / 冒险,中国大陆,2021年7月9日,6970万
八月未央,3.2,爱情,中国大陆,2021年4月16日,6793万
不速来客,6.6,喜剧 / 悬疑,中国大陆,2021年10月22日,6710万
入殓师 おくりびと,8.9,剧情,日本,2021年10月29日,6551万
第一炉香,5.0,剧情 / 爱情,中国大陆,2021年10月22日,6419万
热带往事,6.2,剧情 / 犯罪 / 悬疑,中国大陆,2021年6月12日,6408万
五个扑水的少年,7.2,喜剧 / 运动,中国大陆,2021年10月1日,6259万
我的青春有个你,4.2,剧情 / 爱情,中国大陆,2021年9月19日,6204万
皮皮鲁与鲁西西之罐头小人,6.2,儿童 / 喜剧 / 奇幻,中国大陆,2021年9月30日,5749万
大耳朵图图之霸王龙在行动,5.6,喜剧 / 动画 / 冒险,中国大陆,2021年10月1日,5388万
宝可梦：皮卡丘和可可的冒险 劇場版 ポケットモンスター ココ,6.6,剧情 / 动画 / 冒险,日本,2021年9月10日,5042万
我没谈完的那场恋爱,4.1,爱情,中国大陆,2021年6月25日,4913万
平安中国之守护者,4.3,犯罪,中国大陆,2021年3月19日,4754万
丛林奇航 Jungle Cruise,6.1,喜剧 / 动作 / 奇幻 / 冒险,美国,2021年11月12日,4487万
阳光劫匪,3.7,喜剧 / 奇幻,中国大陆,2021年5月1日,4374万
没有过不去的年,5.6,剧情 / 家庭,中国大陆,2021年1月15日,4314万
海底小纵队：火焰之环,6.7,动画 / 奇幻 / 冒险,中国大陆/英国,2021年1月8日,4163万
济公之降龙降世,4.4,动画 / 奇幻 / 冒险,中国大陆,2021年7月16日,4054万
拯救甜甜圈：时空大营救,6.0,喜剧 / 动画 / 冒险,中国大陆/美国,2021年10月3日,3798万
不老奇事,6.2,剧情 / 爱情,中国大陆,2021年11月5日,3609万
曾经相爱的我们,2.8,爱情,中国大陆,2021年12月10日,3602万
波斯语课 Persischstunden,8.1,剧情,俄罗斯/德国/白俄罗斯,2021年3月19日,3454万
老鹰抓小鸡,6.1,动画,中国大陆,2021年10月1日,3439万
感动她77次 感動她77次,4.3,喜剧 / 爱情,中国香港/中国大陆,2021年5月14日,3221万
明天会好的,4.7,喜剧 / 爱情,中国大陆,2021年4月2日,3056万
二哥来了怎么办,4.2,喜剧,中国大陆,2021年7月16日,3047万
你的世界如果没有我,3.5,剧情 / 爱情,中国大陆,2021年12月3日,3035万
一百零八,5.0,剧情 / 爱情,中国大陆,2021年5月15日,2965万
测谎人,2.8,喜剧 / 爱情,中国大陆,2021年8月13日,2788万
天书奇谭,9.2,动画 / 奇幻,中国大陆,2021年11月5日,2700万
兔子暴力,5.8,剧情 / 犯罪 / 家庭,中国大陆,2021年8月14日,2663万
21座桥 21 Bridges,6.5,动作 / 犯罪 / 悬疑,美国,2021年3月19日,2567万
大城大楼,4.8,喜剧 / 爱情 / 奇幻,中国大陆,2021年9月19日,2483万
迷你特工队之拯救恐龙王 극장판 미니특공대: 공룡왕 디노,4.6,动画,韩国,2021年11月27日,2239万
武汉日夜,7.5,纪录片,中国大陆,2021年1月22日,2229万
歌声的翅膀,7.2,剧情,中国大陆,2021年10月15日,2170万
再见，少年,4.2,剧情,中国大陆,2021年8月27日,2024万
普罗米亚 プロメア,7.8,剧情 / 动作 / 科幻 / 动画,日本,2021年6月5日,1988万
图兰朵：魔咒缘起,3.1,爱情 / 奇幻,中国大陆,2021年10月15日,1889万
银行家 The Banker,7.4,剧情 / 传记,美国,2021年11月26日,1851万
日不落酒店,3.1,喜剧,中国大陆,2021年3月19日,1783万
妈妈的神奇小子 媽媽的神奇小子,6.8,剧情 / 传记 / 运动,中国香港/中国大陆,2021年9月4日,1777万
匹诺曹 Pinocchio,6.2,奇幻,意大利/法国/英国,2021年6月1日,1676万
真·三国无双,3.9,动作 / 奇幻 / 古装,中国大陆/中国香港,2021年5月1日,1557万
乌海,5.7,剧情 / 爱情 / 悬疑,中国大陆,2021年10月29日,1478万
流浪猫鲍勃2：鲍勃的礼物 A Christmas Gift From Bob,6.6,剧情 / 喜剧,英国,2021年8月6日,1474万
有一点动心,4.1,爱情,中国大陆,2021年6月3日,1446万
越界,2.8,惊悚 / 恐怖,中国大陆,2021年10月29日,1391万
山海经之小人国,4.7,儿童 / 动画 / 冒险,中国大陆/美国/加拿大/挪威,2021年9月19日,1383万
最后一间房,4.3,爱情 / 悬疑 / 惊悚,中国大陆,2021年8月27日,1383万
狼行者 Wolfwalkers,7.7,动画 / 奇幻 / 冒险,爱尔兰/英国/卢森堡/法国,2021年7月3日,1328万
白蛇传·情,8.0,剧情 / 爱情 / 戏曲,中国大陆,2021年5月20日,1289万
吉祥如意,7.7,剧情 / 家庭,中国大陆,2021年1月29日,1222万
野马分鬃,6.4,剧情,中国大陆,2021年11月26日,1170万
特种部队：蛇眼起源 Snake Eyes: G.I. Joe Origins,4.3,动作 / 科幻 / 冒险,加拿大/美国,2021年11月5日,1142万
我的爸爸是森林之王2 Bigfoot Family,6.0,动画 / 冒险 / 家庭,比利时/法国,2021年8月6日,1065万
超级的我,4.8,奇幻 / 冒险,中国大陆,2021年4月9日,941万
合法伴侣,3.4,喜剧 / 爱情,中国大陆/中国香港,2021年3月12日,881万
梦境人生,3.6,剧情 / 爱情 / 悬疑,中国大陆,2021年9月10日,734万
忠犬流浪记,5.4,剧情 / 冒险,中国大陆,2021年8月20日,683万
一直游到海水变蓝,6.7,纪录片,中国大陆,2021年9月19日,677万
乔西的虎与鱼 ジョゼと虎と魚たち,6.4,动画,日本,2021年8月20日,677万
混沌行走 Chaos Walking,5.2,动作 / 科幻 / 冒险,美国/加拿大,2021年8月27日,662万
千顷澄碧的时代,5.7,剧情 / 家庭,中国大陆,2021年10月29日,388万
叱咤风云,4.2,剧情 / 爱情 / 运动,中国台湾,2021年1月15日,358万
长津湖之水门桥,7.2,剧情 / 历史 / 战争,中国大陆/中国香港,2022年2月1日,40.6698亿
独行月球,6.6,喜剧 / 科幻,中国大陆,2022年7月29日,31.0525亿
这个杀手不太冷静,6.2,喜剧,中国大陆,2022年2月1日,26.2122亿
人生大事,7.3,剧情 / 家庭,中国大陆/中国香港,2022年6月24日,17.1312
万里归途,7.4,剧情 / 战争,中国大陆,2022年9月30日,15.9213
奇迹·笨小孩,7.4,剧情,中国大陆,2022年2月1日,13.7392亿
侏罗纪世界3 Jurassic World: Dominion,6.0,动作 / 科幻 / 冒险,美国/马耳他,2022年6月10日,10.5891亿
熊出没·重返地球,6.5,儿童 / 喜剧 / 动画,中国大陆,2022年2月1日,9.6380亿
神探大战 神探大戰,6.7,动作 / 犯罪 / 悬疑,中国香港/中国大陆,2022年7月8日,7.092亿
明日战记 明日戰記,6.1,动作 / 科幻,中国香港/中国大陆,2022年8月5日,6.7931亿
狙击手,7.7,剧情 / 历史 / 战争,中国大陆,2022年2月1日,5.9872亿
新神榜：杨戬,7.0,动作 / 动画 / 奇幻 / 冒险,中国大陆,2022年8月19日,5.5642亿
哥，你好,4.8,剧情 / 喜剧 / 奇幻,中国大陆,2022年9月9日,5.4856亿
四海,5.3,喜剧 / 动作 / 爱情,中国大陆,2022年2月1日,5.3964亿
李茂扮太子,4.3,喜剧 / 古装,中国大陆,2022年1月1日,4.5991亿
坏蛋联盟 The Bad Guys,7.3,喜剧 / 动画 / 冒险,美国,2022年4月29日,3.3523亿
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,7.1,喜剧 / 科幻 / 犯罪 / 动画 / 冒险,美国,2022年8月19日,2.3877亿
断·桥,6.1,剧情 / 犯罪,中国大陆,2022年8月13日,2.3233亿
外太空的莫扎特,4.3,喜剧 / 科幻 / 家庭,中国大陆,2022年7月15日,2.2397亿
平凡英雄,6.3,剧情,中国大陆,2022年9月30日,2.149亿
神奇动物：邓布利多之谜 Fantastic Beasts: The Secrets of Dumbledore,5.9,奇幻 / 冒险,英国/美国,2022年4月8日,1.9419亿
扫黑行动,4.6,动作 / 犯罪,中国大陆,2022年11月11日,1.7355亿
十年一品温如言,2.8,剧情 / 爱情,中国大陆,2022年2月14日,1.6724亿
边缘行者,5.0,动作 / 犯罪 / 悬疑,中国大陆/中国香港,2022年4月15日,1.6445亿
新蝙蝠侠 The Batman,7.2,剧情 / 动作 / 犯罪 / 悬疑,美国,2022年3月18日,1.6324亿
我是真的讨厌异地恋,4.4,爱情,中国大陆,2022年4月29日,1.6106亿
喜羊羊与灰太狼之筐出未来,6.8,喜剧 / 动画 / 运动,中国大陆,2022年2月1日,1.5867亿
月球陨落 Moonfall,5.2,科幻 / 灾难,美国/中国大陆/英国,2022年3月25日,1.5309亿
神秘海域 Uncharted,6.3,动作 / 冒险,美国,2022年3月14日,1.4939亿
暗恋·橘生淮南,4.2,爱情,中国大陆,2022年6月2日,1.3455亿
精灵旅社4：变身大冒险 Hotel Transylvania 4: Transformania,6.3,喜剧 / 动画 / 奇幻 / 冒险,美国,2022年4月3日,1.2376亿
一周的朋友,4.6,剧情,中国大陆,2022年6月18日,1.2108亿
好想去你的世界爱你,4.5,喜剧 / 爱情 / 奇幻,中国大陆,2022年2月14日,1.0812亿
还是觉得你最好 飯戲攻心,7.4,喜剧 / 爱情,中国香港,2022年9月9日,1.0638亿
哆啦A梦：大雄的宇宙小战争2021 ドラえもん のび太の宇宙小戦争リトル・スター・ウォーズ2021,6.1,剧情 / 科幻 / 动画 / 冒险,日本,2022年5月28日,9828万
花束般的恋爱 花束みたいな恋をした,8.6,剧情 / 爱情,日本,2022年2月22日,8782万
